,suffixes
319,ομενα / omena
320,ωτερως / wterws
321,μα / ma
322,κων / kwn
323,ονος / onos
324,υος / uos
325,οντι / onti
326,ατε / ate
327,ιομενος / iomenos
328,ευν / eun
329,ιοντι / ionti
330,οντα / onta
331,εσκε / eske
332,υσα / usa
333,οιη / oih
334,εσκοντο / eskonto
335,χαται / xatai
336,ιος / ios
337,ορος / oros
338,σμαι / smai
339,οομαι / oomai
340,ποδες / podes
341,εστερως / esterws
342,οφι / ofi
343,βος / bos
344,αις / ais
345,ειη / eih
346,ευς / eus
347,αντα / anta
348,αναι / anai
349,εσκεο / eskeo
350,ωντι / wnti
351,ειαι / eiai
352,ιομες / iomes
353,σαι / sai
354,οωντο / ownto
355,ιτων / itwn
356,εωμαι / ewmai
357,ημι / hmi
358,πων / pwn
359,κται / ktai
360,νες / nes
361,οσι / osi
362,αθι / aqi
363,ειης / eihs
364,ομαι / omai
365,ασκον / askon
366,ρατο / rato
367,ρος / ros
368,εμεν / emen
369,φαται / fatai
370,ραται / ratai
371,ασθε / asqe
372,ουναι / ounai
373,ρθην / rqhn
374,ουντες / ountes
375,νος / nos
376,μμενοι / mmenoi
377,ονες / ones
378,σθω / sqw
379,ηξ / hc
380,αμεναι / amenai
381,ωος / wos
382,γες / ges
383,αντες / antes
384,κλης / klhs
385,εσσιν / essin
386,δι / di
387,τι / ti
388,ασαν / asan
389,ρες / res
390,αεις / aeis
391,ησι / hsi
392,ρα / ra
393,εστατος / estatos
394,εμην / emhn
395,ετην / ethn
396,ασᾳ / asa
397,κτες / ktes
398,υναι / unai
399,δαται / datai
400,υσσιν / ussin
401,ε / e
402,τα / ta
403,εντα / enta
404,ομεσθα / omesqa
405,αμην / amhn
406,ομεν / omen
407,ηναι / hnai
408,υσθαι / usqai
409,ασι / asi
410,αιμι / aimi
411,ης / hs
412,σμενα / smena
413,αασθαι / aasqai
414,γμην / gmhn
415,δων / dwn
416,εειν / eein
417,αρ / ar
418,ηες / hes
419,πτο / pto
420,ημεν / hmen
421,οτεραν / oteran
422,μενα / mena
423,εται / etai
424,εομαι / eomai
425,ον / on
426,εες / ees
427,ευντας / euntas
428,μμενος / mmenos
429,υμεν / umen
430,εεσκον / eeskon
431,ηφι / hfi
432,εεται / eetai
433,ατον / aton
434,ομενη / omenh
435,οωνται / owntai
436,ουμενα / oumena
437,ρται / rtai
438,ωμεθα / wmeqa
439,μενως / menws
440,γμενη / gmenh
441,ηρ / hr
442,αμεν / amen
443,ηαι / hai
444,υσκε / uske
445,κος / kos
446,εμενος / emenos
447,μαι / mai
448,ωται / wtai
449,αμενος / amenos
450,ψ / y
451,ειω / eiw
452,γμενως / gmenws
453,ποδος / podos
454,εσθην / esqhn
455,ητι / hti
456,σμενως / smenws
457,φθην / fqhn
458,ρμενος / rmenos
459,ωω / ww
460,ιον / ion
461,αων / awn
462,ωον / won
463,ωωσι / wwsi
464,ν / n
465,εηται / ehtai
466,οιμεθα / oimeqa
467,ω / w
468,εοιτο / eoito
469,εναι / enai
470,ωμες / wmes
471,κα / ka
472,ωτω / wtw
473,εατο / eato
474,ωμην / wmhn
475,ματα / mata
476,ωσθην / wsqhn
477,σμην / smhn
478,ειομεν / eiomen
479,εντες / entes
480,ιες / ies
481,ωμενως / wmenws
482,ες / es
483,κτι / kti
484,ωτατω / wtatw
485,εοντα / eonta
486,εασι / easi
487,αμενον / amenon
488,σο / so
489,αιμην / aimhn
490,τος / tos
491,μι / mi
492,ουμαι / oumai
493,ωσαι / wsai
494,ρασι / rasi
495,ωμενα / wmena
496,εσθαι / esqai
497,ουμενη / oumenh
498,μμενη / mmenh
499,αας / aas
500,εσι / esi
501,ψαι / yai
502,εας / eas
