lemma,derivation,meaning,lsj_ulr,pos
οἰκιστήρ,['οἰκίζω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)kisth/r,noun
στερφωτήρ,['στέρφος'],- clad in hides,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sterfwth/r,noun
φραστήρ,['φράζω'],"- teller, expounder; of; about; that tell",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=frasth/r,noun
ἡβητήρ,['ἡβάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(bhth/r,noun
διατάκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diata/ktwr,noun
ῥύτωρ,['ἐρύω'],"- saviour, deliverer, defender; one who saves; delivers from",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(u/twr2,noun
ἑρπηστήρ,['ἕρπω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(rphsth/r,noun
δυσευνάτωρ,"['δυσ', 'εὐνάω']",,,noun
ἀοσσητήρ,['ἀοσσέω'],"- assistant, helper, aider",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)osshth/r,noun
Νέστωρ,[],- Nestor,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*ne/stwr,noun
φωλητήρ,['φωλεός'],- one who lurks in a hole; keeps in one place,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fwlhth/r,noun
μυξητήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=muchth/r,noun
ἰανάτηρ,[],,,
ἰχνευτήρ,['ἰχνεύω'],,,
φιλοπάτωρ,"['φίλος', 'πατήρ']",- loving one's father,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filopa/twr,noun
νομορήτωρ,"['νόμος', 'ῥήτωρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nomorh/twr,noun
ἀναψυκτήρ,"['ἀνά', 'ψύχω']",- refresher,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nayukth/r,noun
νικήτωρ,['νικάω'],- victorious; Legio Victrix,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nikh/twr,noun
Πολυμήστωρ,[],,,noun
πλοτήρ,['πλούς'],,,
κριτήρ,['κρίνω'],- interpreter,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krith/r,noun
μυκτήρ,['μύσσομαι'],"- nostril; Acut.(Sp; nozzle
- trunk; funnel",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mukth/r,noun
ἐγκοιμήτωρ,"['ἐν', 'κοιμάω']",- night,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)gkoimh/twr,
ναυτοκράτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nautokra/twr,noun
τριουμβουράτωρ,[],,,
μετάτωρ,[],,,
πνικτήρ,['πνίγω'],- choking,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pnikth/r,noun
πατήρ,[],"- pitṛ[snull ]u; father
- father, author
- pater patriae",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=path/r,noun
ἀμάτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ma/twr,
βουλευτήρ,['βουλεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=bouleuth/r,noun
καμινευτήρ,['καμινεύω'],- of a smith's bellows,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kamineuth/r,noun
γραπτήρ,['γράφω'],- writer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=grapth/r,noun
διορθωτήρ,"['διά', 'ὀρθός']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diorqwth/r,noun
φαιρωτήρ,[],,,
κάστωρ,[],"- beaver, Castor fiber",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/stwr,noun
στηθιστήρ,['στῆθος'],- poitrel,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sthqisth/r,noun
βοοδμητήρ,"['βοῦς', 'δμητήρ']",,,
ἰθυντήρ,['ἰθύνω'],"- guide, pilot; shepherd; ruler",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)qunth/r,noun
ἐριγάστωρ,"['ἐρι', 'γαστήρ']",- pot-bellied,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)riga/stwr,noun
ὀπτήρ,[],"- one who looks; spies, spy, scout
- one who has seen; eye-witness",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pth/r,noun
ποδανιπτήρ,"['πούς', 'νίπτω']","- vessel for washing the feet in, footpan",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=podanipth/r,noun
φιλομήτηρ,"['φίλος', 'μήτηρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filomh/thr,
τρυπητήρ,['τρυπάω'],- pierced vessel,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=truphth/r,noun
κοινομήτωρ,"['κοινός', 'μήτηρ']",- having a common mother,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=koinomh/twr,noun
τιθασεύτωρ,['τιθασεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tiqaseu/twr,noun
καταστρωτήρ,"['κατά', 'στρώννυμι']",- pavement-slab,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=katastrwth/r,noun
χορηγητήρ,['χορηγέω'],,,
τροπωτήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tropwth/r,noun
ὁσιωτήρ,['ὁσιόω'],- consecrator; the victim offered when one of the priests called,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(siwth/r,noun
βρογχωτήρ,['βρόγχος'],- neck-hole in a garment,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=brogxwth/r,noun
ἀτιμαστήρ,['ἀτιμάζω'],- dishonourer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)timasth/r,noun
μελπήτωρ,['μέλπω'],- singer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=melph/twr,noun
ἀροτήρ,['ἀρόω'],"- plougher, husbandman
- begetter, father",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)roth/r,noun
προπράτωρ,[],,,noun
ζῳδιοκράτωρ,"['ζῴδιον', 'κρατέω']",- divinity presiding over the zodiac,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=zw|diokra/twr,noun
θοινήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qoinh/twr,noun
ἀμήτωρ,['μήτηρ'],"- motherless
- that is no mother, unmotherly; childless",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mh/twr,noun
λικμήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=likmh/twr,noun
φυσητήρ,['φυσάω'],"- instrument for blowing, blowpipe; tube
- one who blows a pipe; bellows",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fushth/r,noun
στρωτήρ,['στρώννυμι'],- rafter laid upon; cross-beam,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=strwth/r,noun
Ἀλάστωρ,[],,,noun
χαρακτήρ,['χαράσσω'],"- engraver; one who mints coins
- mark engraved, impress, stamp; coin type, standard",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xarakth/r,noun
νεικεστήρ,['νεικέω'],- wrangler; one who wrangles with,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=neikesth/r,noun
ἀδελφοπάτηρ,"['ἀδελφός', 'πατήρ']",,,
προσίκτωρ,"['πρός', 'ἱκνέομαι']","- one that comes to a temple, suppliant
- he to whom one comes as a suppliant, protector",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prosi/ktwr,noun
αἰνικτήρ,['αἰνίσσω'],- one who speaks darkly,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)nikth/r,noun
πλατυγάστωρ,"['πλατύς', 'γαστήρ']",- flat-bellied,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=platuga/stwr,noun
ἀλοιητήρ,['ἀλοάω'],"- thresher, grinder",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)loihth/r,noun
κρατήτωρ,['κρατέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krath/twr,noun
προφήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=profh/twr,noun
Ἡγήτωρ,[],,,noun
μαστήρ,['μαίομαι'],"- seeker, searcher",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=masth/r,noun
καρανιστήρ,['κάρηνον'],"- beheading, touching the head",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=karanisth/r,noun
κρητήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krhth/r,noun
τοξευτήρ,['τοξεύω'],"- Centaur
- a species of wolf",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=toceuth/r,noun
συμπράκτωρ,"['σύν', 'πράσσω']","- helper, assistant",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sumpra/ktwr,noun
ὑμνητήρ,['ὑμνέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(mnhth/r,noun
μεσσωτήρ,['μέσ σ ος'],,,
Πολυμνήστωρ,[],,,noun
αἰσχυντήρ,['αἰσχύνω'],- dishonourer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)sxunth/r,noun
δουπήτωρ,['δουπέω'],- clattering,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=douph/twr,noun
συνεπακτήρ,"['σύν', 'ἐπί', 'ἄγω']",- fellow-huntsman,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sunepakth/r,noun
προπατήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=propath/r,
μαλατήρ,[],,,
κοσμήτωρ,['κοσμέω'],"- one who marshals an army, commander, leader; guide, director",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kosmh/twr,noun
ἀλεξητήρ,['ἀλέξω'],,,noun
μιμήτωρ,['μιμέομαι'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mimh/twr,noun
παρθενομήτωρ,"['παρθένος', 'μήτηρ']",,,
μεγαλομήτηρ,"['μέγας', 'μήτηρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=megalomh/thr,
διάκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dia/ktwr,noun
ξυνοδοτήρ,"['ξυνός', 'δίδωμι']",,,noun
κοινοπάτωρ,"['κοινός', 'πατήρ']",,,
γεννητήρ,['γεννάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gennhth/r,noun
κατασχαστήρ,"['κατά', 'σχάζω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=katasxasth/r,noun
ποινητήρ,['ποινάω'],- avenger,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poinhth/r,noun
Θέστωρ,[],,,noun
ποινάτωρ,['ποινή'],"- avenger, punisher",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poina/twr,noun
ἐφεδριστήρ,['ἐφεδρίζω'],- one who plays the game,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)fedristh/r,noun
ἀντιλήπτωρ,"['ἀντί', 'λαμβάνω']","- helper, protector",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntilh/ptwr,noun
δεριστήρ,['δέρη'],- horse-collar,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deristh/r,noun
ὑποκριτήρ,"['ὑπό', 'κρίνω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(pokrith/r,noun
Κλείτωρ,[],,,noun
κλιντήρ,['κλίνω'],- couch,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klinth/r,noun
σιδηρομήτωρ,"['σίδηρος', 'μήτηρ']",- mother of iron,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sidhromh/twr,noun
ληιβοτήρ,[],,,noun
πολυάστηρ,[],,,
ταυροπάτωρ,"['ταῦρος', 'πατήρ']",- sprung from a bull,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tauropa/twr,noun
συνδοτήρ,"['σύν', 'δίδωμι']",,,
Ἀμήτωρ,[],,,noun
Λακητήρ,[],,,noun
δαμαντήρ,[],- tamer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=damanth/r,noun
τελέστωρ,['τελέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tele/stwr,noun
διμάτωρ,[],,,
ἀλάστωρ,[],"- avenging spirit; deity
- he who does deeds which merit vengeance, wretch",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)la/stwr,noun
δυνάστωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=duna/stwr,noun
ἀναληπτήρ,"['ἀνά', 'λαμβάνω']",- bucket; ladle; bowl,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nalhpth/r,noun
παρακλίντωρ,"['παρά', 'κλίνω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=parakli/ntwr,noun
κολυμβητήρ,['κολυμβάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kolumbhth/r,noun
εὑρήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu(rh/twr,noun
κυβερνατήρ,[],,,noun
συγκτήτωρ,"['σύν', 'κτάομαι']",- joint-possessor,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sugkth/twr,noun
ὑπερασπιστήρ,"['ὑπέρ', 'ἀσπίς']",,,
διαγγελτήρ,"['διά', 'ἀγγέλλω']",,,
διευθυντήρ,"['διά', 'εὐθύνω']","- pilot, governor",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dieuqunth/r,noun
θρεπτήτωρ,['τρέφω'],"- nourisher, feeder",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qrepth/twr,noun
λωβητήρ,['λωβάω'],"- foul slanderer; destroyer
- worthless wretch",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lwbhth/r,noun
Γανύκτωρ,[],,,noun
συρμιστήρ,[],- one who sells shavings; for firing,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=surmisth/r,noun
κακοήτωρ,"['κακός', 'ἦτορ']",,,
ἀίστωρ,['ἴστωρ'],,,noun
στεγαστήρ,['στεγάζω'],- coverer; tile,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=stegasth/r,noun
ὀνειδιστήρ,['ὀνειδίζω'],- abusive,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)neidisth/r,noun
πολυμνήστωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polumnh/stwr,
ἐντεσιμήστωρ,"['ἔντος', 'μήστωρ']",- skilled in arms,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)ntesimh/stwr,noun
δευτήρ,['δεύω'],"- kettle, cauldron",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deuth/r,noun
θηράτωρ,['θηράω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhra/twr,noun
θηρατήρ,['θηράω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhrath/r,noun
παγκράτωρ,"['πᾶς', 'κράτος']",- all-powerful,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pagkra/twr,noun
ὀπτευτήρ,['ὀπτάω'],- forger,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pteuth/r,noun
διζήτωρ,['δίζημαι'],,,
ῥαιστήρ,['ῥαίω'],- smasher; hammer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(aisth/r,noun
προδέκτωρ,"['πρό', 'δείκνυμι']",- foreshower,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prode/ktwr,noun
προπάτωρ,"['πρό', 'πατήρ']","- first founder of a family, forefather; ancestor; primal god; PMag. Leid.V; ancestors, forefathers; founders, inventors",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=propa/twr,noun
ὀπηδητήρ,['ὀπηδέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)phdhth/r,
ἀποτακτήρ,"['ἀπό', 'τάσσω']","- anchorite, hermit",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)potakth/r,noun
δρηστήρ,['διδράσκω'],"- labourer, working man
- runaway",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=drhsth/r,noun
ἀλεξήτωρ,['ἀλέξω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)lech/twr,noun
λυμαντήρ,['λυμαίνω'],"- spoiler, destroyer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lumanth/r,noun
βουκινάτωρ,['βούκινον'],,,
βαπτιστήρ,['βαπτίζω'],,,
λωβήτωρ,['λωβάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lwbh/twr,noun
νωμήτωρ,['νωμάω'],"- one who distributes
- one who guides, moves",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nwmh/twr,noun
πολυπρήκτωρ,[],,,
ἐπαμβατήρ,"['ἐπί', 'ἀνά', 'βαίνω']","- one who mounts upon, assailant",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pambath/r,noun
σεκούτωρ,[],,,
Ἀρέστωρ,[],,,noun
τιθηνευτήρ,['τιθηνέω'],,,
δοριμήστωρ,"['δόρυ', 'μήστωρ']",- master of the spear,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dorimh/stwr,noun
ὠμηστήρ,"['ὠμός', 'ἔδω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=w)mhsth/r,noun
ἀντλητήρ,['ἀντλέω'],"- one who drawswater
- ladle",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntlhth/r,noun
σιτολογοπράκτωρ,"['σῖτος', 'λέγω', 'πράκτωρ']",- collector of dues for,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sitologopra/ktwr,noun
ἰχθυσιληϊστήρ,"['ἰχθῦς', 'ληϊστήρ']",,,noun
γλυπτήρ,['γλύφω'],"- graving tool, chisel",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=glupth/r,noun
ἀμητήρ,['ἀμάω'],- reaper,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mhth/r,noun
ἐπιβήτωρ,"['ἐπί', 'βαίνω']","- one who mounts
- springing",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pibh/twr,noun
μαίστωρ,[],,,
δέκτωρ,['δέχομαι'],- one who takes upon himself; on his own head,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=de/ktwr,noun
ἡγήτωρ,['ἡγέομαι'],"- f; leader, commander, chief",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(gh/twr,noun
θεομήστωρ,"['θεός', 'μήδομαι']","- like the gods in counsel
- devised by God",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qeomh/stwr,noun
τευκτήρ,['τεύχω'],- maker,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=teukth/r,noun
βακχεύτωρ,['βακχεύω'],,,noun
Καλήτωρ,[],,,noun
ἰκριωτήρ,['ἴκριον'],"- upright
- joists",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)kriwth/r,noun
ἐπαγγελτήρ,"['ἐπί', 'ἀγγέλλω']",- envoy who announces a festival,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)paggelth/r,noun
ἕστωρ,[],- peg at the end of the pole,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(/stwr,noun
ἀθλητήρ,['ἀθλέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)qlhth/r,noun
συριστήρ,['συρίζω'],,,
ὀλετήρ,['ὄλλυμι'],"- destroyer, murderer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)leth/r,noun
ἵκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(/ktwr,noun
μητάτωρ,[],,,
αἰνοπάτηρ,"['αἰνός', 'πατήρ']",- unhappy father,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)nopa/thr,
ἐγγλωττογάστωρ,"['ἐν', 'γλῶττα', 'γαστήρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)gglwttoga/stwr,noun
κοροράτωρ,[],,,
παναλάστωρ,"['πᾶς', 'ἀλάστωρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=panala/stwr,noun
προβλήτωρ,"['πρό', 'βάλλω']",- producer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=problh/twr,noun
πενθητήρ,['πενθέω'],- mourner; she who mourns for,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=penqhth/r,noun
δώτωρ,[],- giver,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dw/twr,noun
βραχιονιστήρ,['βραχίων'],- armlet,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=braxionisth/r,noun
ληΐστωρ,['ληΐζομαι'],,,noun
πλαγκτήρ,['πλάζω'],"- he that leads astray, the beguiler; the roamer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plagkth/r,noun
γνωστήρ,['γιγνώσκω'],- one that knows: surety; witness to identity,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gnwsth/r,noun
περονητήρ,[],"- buckle, brooch",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=peronhth/r,noun
ἀντλιαντλητήρ,"['ἀντλίον', 'ἀντλητήρ']",- bucket,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntliantlhth/r,noun
νικατήρ,['νικάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nikath/r,noun
κυέστωρ,[],,,
Ὀνήτωρ,[],,,noun
στράτωρ,[],"- strator, groom",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=stra/twr,
φρήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=frh/twr,
ἀφεστήρ,"['ἀπό', 'ἵστημι']",- president of the,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)festh/r,noun
τιμωρητήρ,['τιμωρέω'],- avenger,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=timwrhth/r,noun
θυγάτηρ,[],"- maidservant, slave; duhitár-; daughter",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=quga/thr,noun
κερατήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kerath/r,noun
ῥαντήρ,['ῥαίνω'],"- one who wets; the inner corner of the eye
- sprinkler",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(anth/r,noun
ἐκδέκτωρ,"['ἐκ', 'δέχομαι']",- one who takes from another,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)kde/ktwr,noun
ἐπιίστωρ,"['ἐπί', 'ἴστωρ']",- privy to,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pii/stwr,noun
φοιτητήρ,['φοιτάω'],- in her train,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=foithth/r,noun
πατροδότωρ,"['πατήρ', 'δίδωμι']",,,
στῆρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sth=r,noun
δυσμήτηρ,"['δυσ', 'μήτηρ']",- yet no mother,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dusmh/thr,noun
σφραγιστήρ,['σφραγίζω'],"- sealer; sealring, signet",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sfragisth/r,noun
τραπεζορήτωρ,"['τετρα', 'πούς', 'ῥήτωρ']",- table-talker,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=trapezorh/twr,noun
