lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
κίνησις,κινέω,κίνησις,ki/nhsis,kinhsis,['κινέω'],['kinew'],[],[],κινησις / kinhsis
προσδιηθέομαι,"πρός, διά, ἠθέω",προσδιηθέομαι,prosdihqe/omai,prosdihqeomai,"['πρός', 'διά', 'ἠθέω']","['pros', 'dia', 'hqew']","['πρός', 'διά']","['pros', 'dia']",προσδιηθεομαι / prosdihqeomai
βαλανώδης,βάλανος,βαλανώδης,balanw/dhs,balanwdhs,['βάλανος'],['balanos'],[],[],βαλανωδης / balanwdhs
φίλοιστρος,"φίλος, οἶστρος",φίλοιστρος,fi/loistros,filoistros,"['φίλος', 'οἶστρος']","['filos', 'oistros']",[],[],φιλοιστρος / filoistros
παλλακεύω,παλλακή,παλλακεύω,pallakeu/w,pallakeuw,['παλλακή'],['pallakh'],[],[],παλλακευω / pallakeuw
ψαρός,ψάρ,ψαρός,yaro/s,yaros,['ψάρ'],['yar'],[],[],ψαρος / yaros
θατήρ,,θατήρ,qath/r,qathr,[],[],[],[],θατηρ / qathr
τριπλασιεπίπεμπτος,"τριπλάσιος, ἐπί, πέμπτος",τριπλασιεπίπεμπτος,triplasiepi/pemptos,triplasiepipemptos,"['τριπλάσιος', 'ἐπί', 'πέμπτος']","['triplasios', 'epi', 'pemptos']",['ἐπί'],['epi'],τριπλασιεπιπεμπτος / triplasiepipemptos
δολιχούατος,"δολιχός, οὖας",δολιχούατος,dolixou/atos,dolixouatos,"['δολιχός', 'οὖας']","['dolixos', 'ouas']",[],[],δολιχουατος / dolixouatos
μεγαλογκία,"μέγας, ὄγκος",μεγαλογκία,megalogki/a,megalogkia,"['μέγας', 'ὄγκος']","['megas', 'ogkos']",[],[],μεγαλογκια / megalogkia
Γεδρωσία,,Γεδρωσία,*Gedrwsi/a,Gedrwsia,[],[],[],[],Γεδρωσια / Gedrwsia
περιαμφίς,"περί, ἀμφί",περιαμφίς,periamfi/s,periamfis,"['περί', 'ἀμφί']","['peri', 'amfi']","['περί', 'ἀμφί']","['peri', 'amfi']",περιαμφις / periamfis
ὕπαυγος,"ὑπό, αὐγή",ὕπαυγος,u(/paugos,upaugos,"['ὑπό', 'αὐγή']","['upo', 'augh']",['ὑπό'],['upo'],υπαυγος / upaugos
ἀντιπέραιος,"ἀντί, πέρας",ἀντιπέραιος,a)ntipe/raios,antiperaios,"['ἀντί', 'πέρας']","['anti', 'peras']",['ἀντί'],['anti'],αντιπεραιος / antiperaios
δραστέος,δράω,δραστέος,draste/os,drasteos,['δράω'],['draw'],[],[],δραστεος / drasteos
μελάμπυρον,"μέλας, πυρός",μελάμπυρον,mela/mpuron,melampuron,"['μέλας', 'πυρός']","['melas', 'puros']",[],[],μελαμπυρον / melampuron
ὑλικός,ὕλη,ὑλικός,u(liko/s,ulikos,['ὕλη'],['ulh'],[],[],υλικος / ulikos
νήπυστος,"νή-, πυνθάνομαι",νήπυστος,nh/pustos,nhpustos,"['νή', 'πυνθάνομαι']","['nh', 'punqanomai']",[],[],νηπυστος / nhpustos
σκινδαρεύομαι,σκίνδαρος,σκινδαρεύομαι,skindareu/omai,skindareuomai,['σκίνδαρος'],['skindaros'],[],[],σκινδαρευομαι / skindareuomai
κισσοφάγος,"κισσός, ἔφαγον",κισσοφάγος,kissofa/gos,kissofagos,"['κισσός', 'ἔφαγον']","['kissos', 'efagon']",[],[],κισσοφαγος / kissofagos
τριαγμός,τριάζω,τριαγμός,triagmo/s,triagmos,['τριάζω'],['triazw'],[],[],τριαγμος / triagmos
βαμβραδών,,βαμβραδών,bambradw/n,bambradwn,[],[],[],[],βαμβραδων / bambradwn
ἀπειρόομαι,ἄπειρος 2,ἀπειρόομαι,a)peiro/omai,apeiroomai,['ἄπειρος'],['apeiros'],[],[],απειροομαι / apeiroomai
μαλαγή,μαλάσσω,μαλαγή,malagh/,malagh,['μαλάσσω'],['malassw'],[],[],μαλαγη / malagh
ἰλλωπέω,,ἰλλωπέω,i)llwpe/w,illwpew,[],[],[],[],ιλλωπεω / illwpew
παρσενικός,,παρσενικός,parseniko/s,parsenikos,[],[],[],[],παρσενικος / parsenikos
ψαμαθηδόν,"ψάμμος, ἄμαθος",ψαμαθηδόν,yamaqhdo/n,yamaqhdon,"['ψάμμος', 'ἄμαθος']","['yammos', 'amaqos']",[],[],ψαμαθηδον / yamaqhdon
φρατριόω,φράτηρ,φρατριόω,fratrio/w,fratriow,['φράτηρ'],['frathr'],[],[],φρατριοω / fratriow
ἀπηχής,"ἀπό, ἦχος",ἀπηχής,a)phxh/s,aphxhs,"['ἀπό', 'ἦχος']","['apo', 'hxos']",['ἀπό'],['apo'],απηχης / aphxhs
ἑβδοματικός,,ἑβδοματικός,e(bdomatiko/s,ebdomatikos,[],[],[],[],εβδοματικος / ebdomatikos
λυκόφθαλμος,"λύκος, ὀφθαλμός",λυκόφθαλμος,luko/fqalmos,lukofqalmos,"['λύκος', 'ὀφθαλμός']","['lukos', 'ofqalmos']",[],[],λυκοφθαλμος / lukofqalmos
χαλκοθήκη,"χαλκός, τίθημι",χαλκοθήκη,xalkoqh/kh,xalkoqhkh,"['χαλκός', 'τίθημι']","['xalkos', 'tiqhmi']",[],[],χαλκοθηκη / xalkoqhkh
προδύομαι,"πρό, δύω",προδύομαι,produ/omai,produomai,"['πρό', 'δύω']","['pro', 'duw']",['πρό'],['pro'],προδυομαι / produomai
Τεμπίς,,Τεμπίς,*Tempi/s,Tempis,[],[],[],[],Τεμπις / Tempis
μεσόστενος,"μέσος, στενός",μεσόστενος,meso/stenos,mesostenos,"['μέσος', 'στενός']","['mesos', 'stenos']",[],[],μεσοστενος / mesostenos
στηθομελής,"στῆθος, μέλος",στηθομελής,sthqomelh/s,sthqomelhs,"['στῆθος', 'μέλος']","['sthqos', 'melos']",[],[],στηθομελης / sthqomelhs
παντότης,πᾶς,παντότης,panto/ths,pantoths,['πᾶς'],['pas'],[],[],παντοτης / pantoths
κατάφυτος,"κατά, φύω",κατάφυτος,kata/futos,katafutos,"['κατά', 'φύω']","['kata', 'fuw']",['κατά'],['kata'],καταφυτος / katafutos
ἀναγκάζω,ἀνάγκη,ἀναγκάζω,a)nagka/zw,anagkazw,['ἀνάγκη'],['anagkh'],[],[],αναγκαζω / anagkazw
βουκολιαστάς,βουκολιάζω,βουκολιαστάς,boukoliasta/s,boukoliastas,['βουκολιάζω'],['boukoliazw'],[],[],βουκολιαστας / boukoliastas
Δαύλιος,Δαυλίς,Δαύλιος,*Dau/lios,Daulios,['Δαυλίς'],['Daulis'],[],[],Δαυλιος / Daulios
ὑποσκάπτω,"ὑπό, σκάπτω",ὑποσκάπτω,u(poska/ptw,uposkaptw,"['ὑπό', 'σκάπτω']","['upo', 'skaptw']",['ὑπό'],['upo'],υποσκαπτω / uposkaptw
πηλοστρόφιον,"πηλός, στρέφω",πηλοστρόφιον,phlostro/fion,phlostrofion,"['πηλός', 'στρέφω']","['phlos', 'strefw']",[],[],πηλοστροφιον / phlostrofion
νεκρικός,νεκρός,νεκρικός,nekriko/s,nekrikos,['νεκρός'],['nekros'],[],[],νεκρικος / nekrikos
ὀλβιοεργός,"ὄλβιος, ἔργον",ὀλβιοεργός,o)lbioergo/s,olbioergos,"['ὄλβιος', 'ἔργον']","['olbios', 'ergon']",[],[],ολβιοεργος / olbioergos
διασκοπητέον,"διά, σκοπέω",διασκοπητέον,diaskophte/on,diaskophteon,"['διά', 'σκοπέω']","['dia', 'skopew']",['διά'],['dia'],διασκοπητεον / diaskophteon
ζοΐα,,ζοΐα,zoi/+a,zoia,[],[],[],[],ζοια / zoia
μετατεύχω,"μετά, τεύχω",μετατεύχω,metateu/xw,metateuxw,"['μετά', 'τεύχω']","['meta', 'teuxw']",['μετά'],['meta'],μετατευχω / metateuxw
καμπτήρ,κάμπτω,καμπτήρ,kampth/r,kampthr,['κάμπτω'],['kamptw'],[],[],καμπτηρ / kampthr
περίλοιπος,"περί, λείπω",περίλοιπος,peri/loipos,periloipos,"['περί', 'λείπω']","['peri', 'leipw']",['περί'],['peri'],περιλοιπος / periloipos
σικυοπώλης,"σίκυος, πωλέω",σικυοπώλης,sikuopw/lhs,sikuopwlhs,"['σίκυος', 'πωλέω']","['sikuos', 'pwlew']",[],[],σικυοπωλης / sikuopwlhs
λαθιμέρμερος,"λανθάνω, μέρμερος",λαθιμέρμερος,laqime/rmeros,laqimermeros,"['λανθάνω', 'μέρμερος']","['lanqanw', 'mermeros']",[],[],λαθιμερμερος / laqimermeros
πρωταρχέω,πρωτάρχης,πρωταρχέω,prwtarxe/w,prwtarxew,['πρωτάρχης'],['prwtarxhs'],[],[],πρωταρχεω / prwtarxew
Κορδάκα,,Κορδάκα,*Korda/ka,Kordaka,[],[],[],[],Κορδακα / Kordaka
εὔπλοια,"εὖ, πλέω",εὔπλοια,eu)/ploia,euploia,"['εὖ', 'πλέω']","['eu', 'plew']",['εὖ'],['eu'],ευπλοια / euploia
ἐλπισμός,ἐλπίζω,ἐλπισμός,e)lpismo/s,elpismos,['ἐλπίζω'],['elpizw'],[],[],ελπισμος / elpismos
αὐλοτρύπης,"αὐλός, τρυπάω",αὐλοτρύπης,au)lotru/phs,aulotruphs,"['αὐλός', 'τρυπάω']","['aulos', 'trupaw']",[],[],αυλοτρυπης / aulotruphs
ὑποτρομέω,"ὑπό, τρομέω",ὑποτρομέω,u(potrome/w,upotromew,"['ὑπό', 'τρομέω']","['upo', 'tromew']",['ὑπό'],['upo'],υποτρομεω / upotromew
ἐκεχήνειν,,ἐκεχήνειν,e)kexh/nein,ekexhnein,[],[],[],[],εκεχηνειν / ekexhnein
Λευκάδιος,Λευκάς,Λευκάδιος,*Leuka/dios,Leukadios,['Λευκάς'],['Leukas'],[],[],Λευκαδιος / Leukadios
φέκλη,Lat. faecula,φέκλη,fe/klh,feklh,[],[],[],[],φεκλη / feklh
ἄφατος,φημί,ἄφατος,a)/fatos,afatos,['φημί'],['fhmi'],[],[],αφατος / afatos
ἐξίλλω,,ἐξίλλω,e)ci/llw,ecillw,[],[],[],[],εξιλλω / ecillw
ἐνδιάασκε,,ἐνδιάασκε,e)ndia/aske,endiaaske,[],[],[],[],ενδιαασκε / endiaaske
ἀραιόστυλος,"ἀραιός, στῦλος",ἀραιόστυλος,a)raio/stulos,araiostulos,"['ἀραιός', 'στῦλος']","['araios', 'stulos']",[],[],αραιοστυλος / araiostulos
κατακρημνιστής,"κατά, κρημνίζω",κατακρημνιστής,katakrhmnisth/s,katakrhmnisths,"['κατά', 'κρημνίζω']","['kata', 'krhmnizw']",['κατά'],['kata'],κατακρημνιστης / katakrhmnisths
ἀσπαλιευτής,ἀσπαλιεύω,ἀσπαλιευτής,a)spalieuth/s,aspalieuths,['ἀσπαλιεύω'],['aspalieuw'],[],[],ασπαλιευτης / aspalieuths
ὁμοούσιος,"ὁμός, οὐσία",ὁμοούσιος,o(moou/sios,omoousios,"['ὁμός', 'οὐσία']","['omos', 'ousia']",[],[],ομοουσιος / omoousios
ἐλαφρός,IE*ln̥gh w ro-; cf. AS lungre,ἐλαφρός,e)lafro/s,elafros,[],[],[],[],ελαφρος / elafros
ὑπερουράνιος,"ὑπέρ, οὐράνιος",ὑπερουράνιος,u(peroura/nios,uperouranios,"['ὑπέρ', 'οὐράνιος']","['uper', 'ouranios']",['ὑπέρ'],['uper'],υπερουρανιος / uperouranios
γραμματεῖον,γράμμα,γραμματεῖον,grammatei=on,grammateion,['γράμμα'],['gramma'],[],[],γραμματειον / grammateion
διανθέω,"διά, ἀνθέω",διανθέω,dianqe/w,dianqew,"['διά', 'ἀνθέω']","['dia', 'anqew']",['διά'],['dia'],διανθεω / dianqew
κατασήθω,"κατά, σήθω",κατασήθω,katash/qw,katashqw,"['κατά', 'σήθω']","['kata', 'shqw']",['κατά'],['kata'],κατασηθω / katashqw
Ὄλβασα,,Ὄλβασα,*)/Olbasa,Olbasa,[],[],[],[],Ολβασα / Olbasa
νεκροκόσμος,,νεκροκόσμος,nekroko/smos,nekrokosmos,[],[],[],[],νεκροκοσμος / nekrokosmos
πήλυι,,πήλυι,ph/lui,phlui,[],[],[],[],πηλυι / phlui
ὑποσήθω,"ὑπό, σήθω",ὑποσήθω,u(posh/qw,uposhqw,"['ὑπό', 'σήθω']","['upo', 'shqw']",['ὑπό'],['upo'],υποσηθω / uposhqw
Ἀργίλιοι,Ἄργιλος,Ἀργίλιοι,*)Argi/lioi,Argilioi,['Ἄργιλος'],['Argilos'],[],[],Αργιλιοι / Argilioi
Κάμπη,,Κάμπη,*Ka/mph,Kamph,[],[],[],[],Καμπη / Kamph
μετασχηματίζω,"μετά, σχηματίζω",μετασχηματίζω,metasxhmati/zw,metasxhmatizw,"['μετά', 'σχηματίζω']","['meta', 'sxhmatizw']",['μετά'],['meta'],μετασχηματιζω / metasxhmatizw
διασκώπτω,"διά, σκώπτω",διασκώπτω,diaskw/ptw,diaskwptw,"['διά', 'σκώπτω']","['dia', 'skwptw']",['διά'],['dia'],διασκωπτω / diaskwptw
λάθαργος,,λάθαργος,la/qargos,laqargos,[],[],[],[],λαθαργος / laqargos
σκοτοματικῶς,σκότωμα,σκοτοματικῶς,skotomatikw=s,skotomatikws,['σκότωμα'],['skotwma'],[],[],σκοτοματικως / skotomatikws
περίλυσις,"περί, λύω",περίλυσις,peri/lusis,perilusis,"['περί', 'λύω']","['peri', 'luw']",['περί'],['peri'],περιλυσις / perilusis
αὐλοειδῶς,,αὐλοειδῶς,au)loeidw=s,auloeidws,[],[],[],[],αυλοειδως / auloeidws
εὐποιέω,,εὐποιέω,eu)poie/w,eupoiew,[],[],[],[],ευποιεω / eupoiew
Κόρεια,Κόρη,Κόρεια,*Ko/reia,Koreia,['Κόρη'],['Korh'],[],[],Κορεια / Koreia
πρωτείρης,,πρωτείρης,prwtei/rhs,prwteirhs,[],[],[],[],πρωτειρης / prwteirhs
λευκανθής,"λευκός, ἄνθος",λευκανθής,leukanqh/s,leukanqhs,"['λευκός', 'ἄνθος']","['leukos', 'anqos']",[],[],λευκανθης / leukanqhs
ἐκεῖθι,,ἐκεῖθι,e)kei=qi,ekeiqi,[],[],[],[],εκειθι / ekeiqi
κρεόβοτος,,κρεόβοτος,kreo/botos,kreobotos,[],[],[],[],κρεοβοτος / kreobotos
ἀραιόω,ἀραιός,ἀραιόω,a)raio/w,araiow,['ἀραιός'],['araios'],[],[],αραιοω / araiow
ἐνδιάθεσις,ἐδιατίθημι,ἐνδιάθεσις,e)ndia/qesis,endiaqesis,['ἐδιατίθημι'],['ediatiqhmi'],[],[],ενδιαθεσις / endiaqesis
ἐξιόω,"ἐξ, ἰόομαι",ἐξιόω,e)cio/w,eciow,"['ἐξ', 'ἰόομαι']","['ec', 'ioomai']",['ἐξ'],['ec'],εξιοω / eciow
Φελλεύς,,Φελλεύς,*Felleu/s,Felleus,[],[],[],[],Φελλευς / Felleus
γραμματίζω,γράμμα,γραμματίζω,grammati/zw,grammatizw,['γράμμα'],['gramma'],[],[],γραμματιζω / grammatizw
μουσαναγωγός,"Μοῦσα, ἀνά, ἄγω",μουσαναγωγός,mousanagwgo/s,mousanagwgos,"['Μοῦσα', 'ἀνά', 'ἄγω']","['Mousa', 'ana', 'agw']",['ἀνά'],['ana'],μουσαναγωγος / mousanagwgos
ἐλαφοσσοΐη,"ἔλαφος, σεύω",ἐλαφοσσοΐη,e)lafossoi/+h,elafossoih,"['ἔλαφος', 'σεύω']","['elafos', 'seuw']",[],[],ελαφοσσοιη / elafossoih
ἀσπακάζομαι,,ἀσπακάζομαι,a)spaka/zomai,aspakazomai,[],[],[],[],ασπακαζομαι / aspakazomai
κατάκρεως,"κατά, κρέας",κατάκρεως,kata/krews,katakrews,"['κατά', 'κρέας']","['kata', 'kreas']",['κατά'],['kata'],κατακρεως / katakrews
διανέστην,,διανέστην,diane/sthn,dianesthn,[],[],[],[],διανεστην / dianesthn
καλαμηδόν,καλάμη,καλαμηδόν,kalamhdo/n,kalamhdon,['καλάμη'],['kalamh'],[],[],καλαμηδον / kalamhdon
συνεταιρίς,"σύν, ἑταῖρος",συνεταιρίς,sunetairi/s,sunetairis,"['σύν', 'ἑταῖρος']","['sun', 'etairos']",['σύν'],['sun'],συνεταιρις / sunetairis
Μελάμφυλλος,,Μελάμφυλλος,*Mela/mfullos,Melamfullos,[],[],[],[],Μελαμφυλλος / Melamfullos
δρᾶσις,δράω,δρᾶσις,dra=sis,drasis,['δράω'],['draw'],[],[],δρασις / drasis
νῆρις,,νῆρις,nh=ris,nhris,[],[],[],[],νηρις / nhris
Ὑλλεῖς,,Ὑλλεῖς,*(Ullei=s,Ulleis,[],[],[],[],Υλλεις / Ulleis
βαναυσουργία,"βαῦνος, αὔω, ἔργον",βαναυσουργία,banausourgi/a,banausourgia,"['βαῦνος', 'αὔω', 'ἔργον']","['baunos', 'auw', 'ergon']",[],[],βαναυσουργια / banausourgia
ἀπομερμηρίζω,"ἀπό, μερμηρίζω",ἀπομερμηρίζω,a)pomermhri/zw,apomermhrizw,"['ἀπό', 'μερμηρίζω']","['apo', 'mermhrizw']",['ἀπό'],['apo'],απομερμηριζω / apomermhrizw
κισσόδετος,,κισσόδετος,kisso/detos,kissodetos,[],[],[],[],κισσοδετος / kissodetos
ἕης,,ἕης,e(/hs,ehs,[],[],[],[],εης / ehs
ψάλτρια,ψάλτης,ψάλτρια,ya/ltria,yaltria,['ψάλτης'],['yalths'],[],[],ψαλτρια / yaltria
παρρησία,"πᾶς, ῥητός",παρρησία,parrhsi/a,parrhsia,"['πᾶς', 'ῥητός']","['pas', 'rhtos']",[],[],παρρησια / parrhsia
Ἰλλυρικός,Ἰλλυρία,Ἰλλυρικός,*)Illuriko/s,Illurikos,['Ἰλλυρία'],['Illuria'],[],[],Ιλλυρικος / Illurikos
χερσόθεν,χέρσος,χερσόθεν,xerso/qen,xersoqen,['χέρσος'],['xersos'],[],[],χερσοθεν / xersoqen
ἀπειρόπλους,"ἄπειρος 1, πλοῦς",ἀπειρόπλους,a)peiro/plous,apeiroplous,"['ἄπειρος', 'πλοῦς']","['apeiros', 'plous']",[],[],απειροπλους / apeiroplous
ἀπήσω,,ἀπήσω,a)ph/sw,aphsw,[],[],[],[],απησω / aphsw
φρατριαστής,φρατριάζω,φρατριαστής,fratriasth/s,fratriasths,['φρατριάζω'],['fratriazw'],[],[],φρατριαστης / fratriasths
τεμένιος,τέμενος,τεμένιος,teme/nios,temenios,['τέμενος'],['temenos'],[],[],τεμενιος / temenios
πρόδοσις,"πρό, δίδωμι",πρόδοσις,pro/dosis,prodosis,"['πρό', 'δίδωμι']","['pro', 'didwmi']",['πρό'],['pro'],προδοσις / prodosis
χαλκολίβανος,"χαλκός, λίβανος",χαλκολίβανος,xalkoli/banos,xalkolibanos,"['χαλκός', 'λίβανος']","['xalkos', 'libanos']",[],[],χαλκολιβανος / xalkolibanos
λύκος,"cf. Lat. lupus, Skt. vŕ̥ka-, Goth. wulfs, Lith. vil̃kas, Av. v∂hrkō-",λύκος,lu/kos,lukos,[],[],[],[],λυκος / lukos
πελωχικόν,,πελωχικόν,pelwxiko/n,pelwxikon,[],[],[],[],πελωχικον / pelwxikon
χοιροθυσία,"χοῖρος, θυσία",χοιροθυσία,xoiroqusi/a,xoiroqusia,"['χοῖρος', 'θυσία']","['xoiros', 'qusia']",[],[],χοιροθυσια / xoiroqusia
ἑβδομηκονταστάδιος,"ἑβδομήκοντα, στάδιον",ἑβδομηκονταστάδιος,e(bdomhkontasta/dios,ebdomhkontastadios,"['ἑβδομήκοντα', 'στάδιον']","['ebdomhkonta', 'stadion']",[],[],εβδομηκοντασταδιος / ebdomhkontastadios
παντοπωλέω,"πᾶς, πώλης",παντοπωλέω,pantopwle/w,pantopwlew,"['πᾶς', 'πώλης']","['pas', 'pwlhs']",[],[],παντοπωλεω / pantopwlew
δυσμάραντος,"δυσ-, μαραίνω",δυσμάραντος,dusma/rantos,dusmarantos,"['δυσ', 'μαραίνω']","['dus', 'marainw']",['δυσ'],['dus'],δυσμαραντος / dusmarantos
στηθάριον,στῆθος,στηθάριον,sthqa/rion,sthqarion,['στῆθος'],['sthqos'],[],[],στηθαριον / sthqarion
βουκόλησις,βουκολέω,βουκόλησις,bouko/lhsis,boukolhsis,['βουκολέω'],['boukolew'],[],[],βουκολησις / boukolhsis
ἐπιπρόσω,"ἐπί, πρόσω",ἐπιπρόσω,e)pipro/sw,epiprosw,"['ἐπί', 'πρόσω']","['epi', 'prosw']",['ἐπί'],['epi'],επιπροσω / epiprosw
ἀναγεύω,"ἀνά, γεύω",ἀναγεύω,a)nageu/w,anageuw,"['ἀνά', 'γεύω']","['ana', 'geuw']",['ἀνά'],['ana'],αναγευω / anageuw
καταφωτισμός,"κατά, φωτίζω",καταφωτισμός,katafwtismo/s,katafwtismos,"['κατά', 'φωτίζω']","['kata', 'fwtizw']",['κατά'],['kata'],καταφωτισμος / katafwtismos
πολυηχία,"πολύς, ἦχος",πολυηχία,poluhxi/a,poluhxia,"['πολύς', 'ἦχος']","['polus', 'hxos']",[],[],πολυηχια / poluhxia
Τισίας,,Τισίας,*Tisi/as,Tisias,[],[],[],[],Τισιας / Tisias
συμπένθερος,"σύν, πενθερός",συμπένθερος,sumpe/nqeros,sumpenqeros,"['σύν', 'πενθερός']","['sun', 'penqeros']",['σύν'],['sun'],συμπενθερος / sumpenqeros
βρυταν,,βρυταν,brutan,brutan,[],[],[],[],βρυταν / brutan
Καυσάθας,,Καυσάθας,*Kausa/qas,Kausaqas,[],[],[],[],Καυσαθας / Kausaqas
κλοιός,,κλοιός,kloio/s,kloios,[],[],[],[],κλοιος / kloios
Ἀναρτοφράκτοι,,Ἀναρτοφράκτοι,*)Anartofra/ktoi,Anartofraktoi,[],[],[],[],Αναρτοφρακτοι / Anartofraktoi
σκυλακοτροφία,"σκύλαξ, τρέφω",σκυλακοτροφία,skulakotrofi/a,skulakotrofia,"['σκύλαξ', 'τρέφω']","['skulac', 'trefw']",[],[],σκυλακοτροφια / skulakotrofia
φονουργός,"φόνος, ἔργον",φονουργός,fonourgo/s,fonourgos,"['φόνος', 'ἔργον']","['fonos', 'ergon']",[],[],φονουργος / fonourgos
ἐπικανθίς,"ἐπί, κανθός",ἐπικανθίς,e)pikanqi/s,epikanqis,"['ἐπί', 'κανθός']","['epi', 'kanqos']",['ἐπί'],['epi'],επικανθις / epikanqis
παγγενέτειρα,"πᾶς, γίγνομαι",παγγενέτειρα,paggene/teira,paggeneteira,"['πᾶς', 'γίγνομαι']","['pas', 'gignomai']",[],[],παγγενετειρα / paggeneteira
φυτοσπόρος,"φυτόν, σπείρω",φυτοσπόρος,futospo/ros,futosporos,"['φυτόν', 'σπείρω']","['futon', 'speirw']",[],[],φυτοσπορος / futosporos
λωφάξαλος,,λωφάξαλος,lwfa/calos,lwfacalos,[],[],[],[],λωφαξαλος / lwfacalos
ἐγκαταλέχομαι,see ἐγκαταλέγω,ἐγκαταλέχομαι,e)gkatale/xomai,egkatalexomai,[],[],[],[],εγκαταλεχομαι / egkatalexomai
βαλβιδώδης,βαλβίς,βαλβιδώδης,balbidw/dhs,balbidwdhs,['βαλβίς'],['balbis'],[],[],βαλβιδωδης / balbidwdhs
προσδίδωμι,"πρός, δίδωμι",προσδίδωμι,prosdi/dwmi,prosdidwmi,"['πρός', 'δίδωμι']","['pros', 'didwmi']",['πρός'],['pros'],προσδιδωμι / prosdidwmi
Κινέσων,,Κινέσων,*Kine/swn,Kineswn,[],[],[],[],Κινεσων / Kineswn
ψάμμος,cf. Lat. sabulum,ψάμμος,ya/mmos,yammos,[],[],[],[],ψαμμος / yammos
μεγαλόδους,"μέγας, ὀδούς",μεγαλόδους,megalo/dous,megalodous,"['μέγας', 'ὀδούς']","['megas', 'odous']",[],[],μεγαλοδους / megalodous
ἀποκαπνισμός,"ἀπό, καμπνίζω",ἀποκαπνισμός,a)pokapnismo/s,apokapnismos,"['ἀπό', 'καμπνίζω']","['apo', 'kampnizw']",['ἀπό'],['apo'],αποκαπνισμος / apokapnismos
Δολίχη,,Δολίχη,*Doli/xh,Dolixh,[],[],[],[],Δολιχη / Dolixh
ἀντιπέρην,,ἀντιπέρην,a)ntipe/rhn,antiperhn,[],[],[],[],αντιπερην / antiperhn
Κεραύνια,,Κεραύνια,*Kerau/nia,Keraunia,[],[],[],[],Κεραυνια / Keraunia
ὑπαύχενον,"ὑπό, αὐχήν",ὑπαύχενον,u(pau/xenon,upauxenon,"['ὑπό', 'αὐχήν']","['upo', 'auxhn']",['ὑπό'],['upo'],υπαυχενον / upauxenon
περιαμπέχω,"περί, ἀμφί, ἔχω",περιαμπέχω,periampe/xw,periampexw,"['περί', 'ἀμφί', 'ἔχω']","['peri', 'amfi', 'exw']","['περί', 'ἀμφί']","['peri', 'amfi']",περιαμπεχω / periampexw
ἕρκος,cf. Lat. sarciō,ἕρκος,e(/rkos,erkos,[],[],[],[],ερκος / erkos
ἀλλόχρως,"ἄλλος, χρώς",ἀλλόχρως,a)llo/xrws,alloxrws,"['ἄλλος', 'χρώς']","['allos', 'xrws']",[],[],αλλοχρως / alloxrws
γλοία,γλοιός 1,γλοία,gloi/a,gloia,['γλοιός'],['gloios'],[],[],γλοια / gloia
καταδεδίττομαι,"κατά, δεδίττομαι",καταδεδίττομαι,katadedi/ttomai,katadedittomai,"['κατά', 'δεδίττομαι']","['kata', 'dedittomai']",['κατά'],['kata'],καταδεδιττομαι / katadedittomai
ἀντιδίδωμι,"ἀντί, δίδωμι",ἀντιδίδωμι,a)ntidi/dwmi,antididwmi,"['ἀντί', 'δίδωμι']","['anti', 'didwmi']",['ἀντί'],['anti'],αντιδιδωμι / antididwmi
πλεῖος,,πλεῖος,plei=os,pleios,[],[],[],[],πλειος / pleios
οὐνομάζω,,οὐνομάζω,ou)noma/zw,ounomazw,[],[],[],[],ουνομαζω / ounomazw
διόπτριον,διόπτρα,διόπτριον,dio/ptrion,dioptrion,['διόπτρα'],['dioptra'],[],[],διοπτριον / dioptrion
διακοσιοστός,διακόσιοι,διακοσιοστός,diakosiosto/s,diakosiostos,['διακόσιοι'],['diakosioi'],[],[],διακοσιοστος / diakosiostos
λεσχάζω,λέσχη,λεσχάζω,lesxa/zw,lesxazw,['λέσχη'],['lesxh'],[],[],λεσχαζω / lesxazw
συσκευή,"σύν, σκευή",συσκευή,suskeuh/,suskeuh,"['σύν', 'σκευή']","['sun', 'skeuh']",['σύν'],['sun'],συσκευη / suskeuh
ψυχότροφον,"ψῦχος, τρέφω",ψυχότροφον,yuxo/trofon,yuxotrofon,"['ψῦχος', 'τρέφω']","['yuxos', 'trefw']",[],[],ψυχοτροφον / yuxotrofon
ἐκδαπανάω,"ἐκ, δαπανάω",ἐκδαπανάω,e)kdapana/w,ekdapanaw,"['ἐκ', 'δαπανάω']","['ek', 'dapanaw']",['ἐκ'],['ek'],εκδαπαναω / ekdapanaw
ἔμπληκτος,"ἐν, πλήσσω",ἔμπληκτος,e)/mplhktos,emplhktos,"['ἐν', 'πλήσσω']","['en', 'plhssw']",['ἐν'],['en'],εμπληκτος / emplhktos
καταβατεύω,"κατά, βαίνω",καταβατεύω,katabateu/w,katabateuw,"['κατά', 'βαίνω']","['kata', 'bainw']",['κατά'],['kata'],καταβατευω / katabateuw
φῆ,,φῆ,fh=,fh,[],[],[],[],φη / fh
ὀρβιοπωλεῖον,"ὄροβος, πώλης",ὀρβιοπωλεῖον,o)rbiopwlei=on,orbiopwleion,"['ὄροβος', 'πώλης']","['orobos', 'pwlhs']",[],[],ορβιοπωλειον / orbiopwleion
Καίσων,,Καίσων,*Kai/swn,Kaiswn,[],[],[],[],Καισων / Kaiswn
