lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
καυλίον,καυλός,καυλίον,kauli/on,kaulion,['καυλός'],['kaulos'],[],[],καυλιον / kaulion
τῶν,,τῶν,tw=n,twn,[],[],[],[],των / twn
Βερόη,,Βερόη,*Bero/h,Beroh,[],[],[],[],Βεροη / Beroh
κλονιστήρ,κλόνος?,κλονιστήρ,klonisth/r,klonisthr,['κλόνος'],['klonos'],[],[],κλονιστηρ / klonisthr
νῷ,,νῷ,nw=|,nw,[],[],[],[],νω / nw
χρυσεγχής,"χρυσός, ἔγχος",χρυσεγχής,xrusegxh/s,xrusegxhs,"['χρυσός', 'ἔγχος']","['xrusos', 'egxos']",[],[],χρυσεγχης / xrusegxhs
Ἀμασίας,,Ἀμασίας,*)Amasi/as,Amasias,[],[],[],[],Αμασιας / Amasias
Κίννας,,Κίννας,*Ki/nnas,Kinnas,[],[],[],[],Κιννας / Kinnas
φιλόθηλυς,"φίλος, θῆλυς",φιλόθηλυς,filo/qhlus,filoqhlus,"['φίλος', 'θῆλυς']","['filos', 'qhlus']",[],[],φιλοθηλυς / filoqhlus
Θερμολέπυρος,,Θερμολέπυρος,*Qermole/puros,Qermolepuros,[],[],[],[],Θερμολεπυρος / Qermolepuros
κείω 2,κεάζω; cf. OHG hauen,κείω,kei/w,keiw,['κεάζω'],['keazw'],[],[],κειω / keiw
Παραιτόνιος,,Παραιτόνιος,*Paraito/nios,Paraitonios,[],[],[],[],Παραιτονιος / Paraitonios
σελήνιον,σελήνη,σελήνιον,selh/nion,selhnion,['σελήνη'],['selhnh'],[],[],σεληνιον / selhnion
Μαρτίαλις,,Μαρτίαλις,*Marti/alis,Martialis,[],[],[],[],Μαρτιαλις / Martialis
χειρογραφή,"χείρ, γράφω",χειρογραφή,xeirografh/,xeirografh,"['χείρ', 'γράφω']","['xeir', 'grafw']",[],[],χειρογραφη / xeirografh
Ἀμυδών,,Ἀμυδών,*)Amudw/n,Amudwn,[],[],[],[],Αμυδων / Amudwn
εἶναι,,εἶναι,ei)=nai,einai,[],[],[],[],ειναι / einai
Ἐπίζηλος,,Ἐπίζηλος,*)Epi/zhlos,Epizhlos,[],[],[],[],Επιζηλος / Epizhlos
θαρσήεις,θάρσος,θαρσήεις,qarsh/eis,qarsheis,['θάρσος'],['qarsos'],[],[],θαρσηεις / qarsheis
ἀποίσω,,ἀποίσω,a)poi/sw,apoisw,[],[],[],[],αποισω / apoisw
γεγαθ-,,γεγαθ,gegaq,gegaq,[],[],[],[],γεγαθ / gegaq
Περίαλλος,,Περίαλλος,*Peri/allos,Periallos,[],[],[],[],Περιαλλος / Periallos
τάξις,τάσσω,τάξις,ta/cis,tacis,['τάσσω'],['tassw'],[],[],ταξις / tacis
κερατοφυέω,"κέρας, φύω",κερατοφυέω,keratofue/w,keratofuew,"['κέρας', 'φύω']","['keras', 'fuw']",[],[],κερατοφυεω / keratofuew
προαναπλέω,"πρό, ἀνά, πλέω",προαναπλέω,proanaple/w,proanaplew,"['πρό', 'ἀνά', 'πλέω']","['pro', 'ana', 'plew']","['πρό', 'ἀνά']","['pro', 'ana']",προαναπλεω / proanaplew
δραπέτις,δραπέτης,δραπέτις,drape/tis,drapetis,['δραπέτης'],['drapeths'],[],[],δραπετις / drapetis
ἀνελεής,,ἀνελεής,a)neleh/s,anelehs,[],[],[],[],ανελεης / anelehs
