lemma;derivation;meaning;lsj_ulr;pos;Clean
φράτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fra/twr;noun;no
ἀγγελτήρ;['ἀγγέλλω'];;;;yes
κέντωρ;['κέντρον'];- goader, driver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ke/ntwr;noun;yes
Δαίτωρ;[];;;noun;no
ἀγρυπνητήρ;['ἀγρυπνέω'];- watcher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)grupnhth/r;noun;yes
ψυχροκαυτήρ;['ψυχρός', 'καυτήρ'];- a caustic;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=yuxrokauth/r;noun;yes
ἀλλοφρήτωρ;['ἄλλος', 'φρήτωρ'];- one of another;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)llofrh/twr;noun;no
θατήρ;[];- throttler;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qath/r;noun;yes
καμπτήρ;['κάμπτω'];"- bend, angle
- turning-point in the";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kampth/r;noun;yes
ἀμπυκτήρ;['ἀνά', 'ἀμφί'];- horse's bridle;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mpukth/r;noun;yes
ἀγυρτήρ;['ἀγυρτεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)gurth/r;noun;yes
συμμήστωρ;['σύν', 'μήστωρ'];- fellow-counsellor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=summh/stwr;noun;yes
ἀγροτήρ;['ἀγρός'];- rustic;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)groth/r;noun;yes
δηλητήρ;['δηλέομαι'];;;noun;yes
χρηστήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrhsth/r;noun;yes
πρηστήρ;['πίμπρημι'];"- hurricane; waterspout attended with lightning
- pair of bellows
- veins of the neck when swollen by anger
- serpent";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prhsth/r;noun;yes
ἀμφιάστωρ;['ἀμφιάζω'];;;;yes
ὑποβατήρ;['ὑπό', 'βαίνω'];"- pedestal; support";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(pobath/r;noun;yes
ὑβριστήρ;['ὑβρίζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(bristh/r;noun;yes
ναυκράτωρ;['ναυκρατέω'];- master of a ship;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=naukra/twr;noun;yes
θηητήρ;['θεάομαι'];- one who gazes at, an admirer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhhth/r;noun;yes
ἀδιούτωρ;[];;;;yes
παύστωρ;['παύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pau/stwr;noun;yes
χαλκεομήστωρ;['χάλκεος', 'μήδομαι'];- skilled in arms;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xalkeomh/stwr;noun;yes
κονρήκτωρ;[];;;;yes
προκουράτωρ;[];;;;yes
ὀργανοπήκτωρ;['ὄργανον', 'πήγνυμι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)rganoph/ktwr;noun;yes
κουαίστωρ;[];;;;yes
συλλήπτωρ;['σύν', 'λαμβάνω'];- accomplice, assistant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sullh/ptwr;noun;yes
