lemma;derivation;meaning;lsj_ulr;pos;Clean
ἁρμοστήρ;['ἁρμόζω'];- laid with the grain;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmosth/r;noun;yes
ἑλικτήρ;['ἑλίσσω'];"- anything twisted; ear-ring";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(likth/r;noun;yes
κρατήρ;['κεράννυμι'];"- mixing vessel; bowl, in which wine was mixed with water
- any cup-shaped hollow, basin";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krath/r;noun;yes
ἀρητήρ;['ἀράομαι'];"- one that prays; priest";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)rhth/r;noun;yes
οἰκήτωρ;['οἰκέω'];- inhabitant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)kh/twr;noun;yes
ἀμύκτηρ;['μυκτήρ'];- without nose;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mu/kthr;;yes
οἰκιστήρ;['οἰκίζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)kisth/r;noun;yes
στερφωτήρ;['στέρφος'];- clad in hides;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sterfwth/r;noun;yes
φραστήρ;['φράζω'];"- teller, expounder; of; about; that tell";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=frasth/r;noun;yes
ἡβητήρ;['ἡβάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(bhth/r;noun;yes
διατάκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diata/ktwr;noun;yes
ῥύτωρ;['ἐρύω'];"- saviour, deliverer, defender; one who saves; delivers from";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(u/twr2;noun;yes
ἑρπηστήρ;['ἕρπω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(rphsth/r;noun;yes
δυσευνάτωρ;['δυσ', 'εὐνάω'];;;noun;yes
ἀοσσητήρ;['ἀοσσέω'];- assistant, helper, aider;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)osshth/r;noun;yes
Νέστωρ;[];- Nestor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*ne/stwr;noun;no
φωλητήρ;['φωλεός'];"- one who lurks in a hole; keeps in one place";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fwlhth/r;noun;yes
μυξητήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=muchth/r;noun;yes
ἰανάτηρ;[];;;;no
ἰχνευτήρ;['ἰχνεύω'];;;;yes
φιλοπάτωρ;['φίλος', 'πατήρ'];- loving one's father;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filopa/twr;noun;no
νομορήτωρ;['νόμος', 'ῥήτωρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nomorh/twr;noun;yes
ἀναψυκτήρ;['ἀνά', 'ψύχω'];- refresher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nayukth/r;noun;yes
νικήτωρ;['νικάω'];"- victorious; Legio Victrix";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nikh/twr;noun;yes
Πολυμήστωρ;[];;;noun;no
πλοτήρ;['πλούς'];;;;yes
κριτήρ;['κρίνω'];- interpreter;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krith/r;noun;yes
μυκτήρ;['μύσσομαι'];"- nostril; Acut.(Sp; nozzle
- trunk; funnel";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mukth/r;noun;yes
ἐγκοιμήτωρ;['ἐν', 'κοιμάω'];- night;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)gkoimh/twr;;yes
ναυτοκράτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nautokra/twr;noun;yes
τριουμβουράτωρ;[];;;;?
μετάτωρ;[];;;;?
πνικτήρ;['πνίγω'];- choking;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pnikth/r;noun;yes
πατήρ;[];"- pitṛ[snull ]u; father
- father, author
- pater patriae";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=path/r;noun;no
ἀμάτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ma/twr;;no
βουλευτήρ;['βουλεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=bouleuth/r;noun;yes
καμινευτήρ;['καμινεύω'];- of a smith's bellows;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kamineuth/r;noun;yes
γραπτήρ;['γράφω'];- writer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=grapth/r;noun;yes
διορθωτήρ;['διά', 'ὀρθός'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diorqwth/r;noun;yes
φαιρωτήρ;[];;;;yes
κάστωρ;[];- beaver, Castor fiber;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/stwr;noun;no
στηθιστήρ;['στῆθος'];- poitrel;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sthqisth/r;noun;no
βοοδμητήρ;['βοῦς', 'δμητήρ'];;;;yes
ἰθυντήρ;['ἰθύνω'];"- guide, pilot; shepherd; ruler";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)qunth/r;noun;yes
ἐριγάστωρ;['ἐρι', 'γαστήρ'];- pot-bellied;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)riga/stwr;noun;no
ὀπτήρ;[];"- one who looks; spies, spy, scout
- one who has seen; eye-witness";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pth/r;noun;yes
ποδανιπτήρ;['πούς', 'νίπτω'];- vessel for washing the feet in, footpan;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=podanipth/r;noun;yes
φιλομήτηρ;['φίλος', 'μήτηρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filomh/thr;;no
τρυπητήρ;['τρυπάω'];- pierced vessel;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=truphth/r;noun;yes
κοινομήτωρ;['κοινός', 'μήτηρ'];- having a common mother;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=koinomh/twr;noun;no
τιθασεύτωρ;['τιθασεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tiqaseu/twr;noun;yes
καταστρωτήρ;['κατά', 'στρώννυμι'];- pavement-slab;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=katastrwth/r;noun;yes
χορηγητήρ;['χορηγέω'];;;;yes
τροπωτήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tropwth/r;noun;yes
ὁσιωτήρ;['ὁσιόω'];"- consecrator; the victim offered when one of the priests called";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(siwth/r;noun;yes
βρογχωτήρ;['βρόγχος'];- neck-hole in a garment;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=brogxwth/r;noun;yes
ἀτιμαστήρ;['ἀτιμάζω'];- dishonourer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)timasth/r;noun;yes
μελπήτωρ;['μέλπω'];- singer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=melph/twr;noun;yes
ἀροτήρ;['ἀρόω'];"- plougher, husbandman
- begetter, father";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)roth/r;noun;yes
προπράτωρ;[];;;noun;yes
ζῳδιοκράτωρ;['ζῴδιον', 'κρατέω'];- divinity presiding over the zodiac;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=zw|diokra/twr;noun;yes
θοινήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qoinh/twr;noun;yes
ἀμήτωρ;['μήτηρ'];"- motherless
- that is no mother, unmotherly; childless";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mh/twr;noun;no
λικμήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=likmh/twr;noun;yes
φυσητήρ;['φυσάω'];"- instrument for blowing, blowpipe; tube
- one who blows a pipe; bellows";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fushth/r;noun;yes
στρωτήρ;['στρώννυμι'];"- rafter laid upon; cross-beam";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=strwth/r;noun;yes
Ἀλάστωρ;[];;;noun;no
χαρακτήρ;['χαράσσω'];"- engraver; one who mints coins
- mark engraved, impress, stamp; coin type, standard";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xarakth/r;noun;yes
νεικεστήρ;['νεικέω'];"- wrangler; one who wrangles with";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=neikesth/r;noun;yes
ἀδελφοπάτηρ;['ἀδελφός', 'πατήρ'];;;;no
προσίκτωρ;['πρός', 'ἱκνέομαι'];"- one that comes to a temple, suppliant
- he to whom one comes as a suppliant, protector";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prosi/ktwr;noun;yes
αἰνικτήρ;['αἰνίσσω'];- one who speaks darkly;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)nikth/r;noun;yes
πλατυγάστωρ;['πλατύς', 'γαστήρ'];- flat-bellied;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=platuga/stwr;noun;no
ἀλοιητήρ;['ἀλοάω'];- thresher, grinder;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)loihth/r;noun;yes
κρατήτωρ;['κρατέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krath/twr;noun;yes
προφήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=profh/twr;noun;yes
Ἡγήτωρ;[];;;noun;no
μαστήρ;['μαίομαι'];- seeker, searcher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=masth/r;noun;yes
καρανιστήρ;['κάρηνον'];- beheading, touching the head;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=karanisth/r;noun;no
κρητήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krhth/r;noun;yes
τοξευτήρ;['τοξεύω'];"- Centaur
- a species of wolf";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=toceuth/r;noun;yes
συμπράκτωρ;['σύν', 'πράσσω'];- helper, assistant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sumpra/ktwr;noun;yes
ὑμνητήρ;['ὑμνέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(mnhth/r;noun;yes
μεσσωτήρ;['μέσ σ ος'];;;;yes
Πολυμνήστωρ;[];;;noun;no
αἰσχυντήρ;['αἰσχύνω'];- dishonourer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)sxunth/r;noun;yes
δουπήτωρ;['δουπέω'];- clattering;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=douph/twr;noun;yes
συνεπακτήρ;['σύν', 'ἐπί', 'ἄγω'];- fellow-huntsman;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sunepakth/r;noun;yes
προπατήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=propath/r;;yes
μαλατήρ;[];;;;yes
κοσμήτωρ;['κοσμέω'];"- one who marshals an army, commander, leader; guide, director";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kosmh/twr;noun;yes
ἀλεξητήρ;['ἀλέξω'];;;noun;yes
μιμήτωρ;['μιμέομαι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mimh/twr;noun;yes
παρθενομήτωρ;['παρθένος', 'μήτηρ'];;;;no
μεγαλομήτηρ;['μέγας', 'μήτηρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=megalomh/thr;;no
διάκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dia/ktwr;noun;yes
ξυνοδοτήρ;['ξυνός', 'δίδωμι'];;;noun;yes
κοινοπάτωρ;['κοινός', 'πατήρ'];;;;no
γεννητήρ;['γεννάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gennhth/r;noun;yes
κατασχαστήρ;['κατά', 'σχάζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=katasxasth/r;noun;yes
ποινητήρ;['ποινάω'];- avenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poinhth/r;noun;yes
Θέστωρ;[];;;noun;no
ποινάτωρ;['ποινή'];- avenger, punisher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poina/twr;noun;yes
ἐφεδριστήρ;['ἐφεδρίζω'];- one who plays the game;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)fedristh/r;noun;yes
ἀντιλήπτωρ;['ἀντί', 'λαμβάνω'];- helper, protector;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntilh/ptwr;noun;yes
δεριστήρ;['δέρη'];- horse-collar;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deristh/r;noun;no
ὑποκριτήρ;['ὑπό', 'κρίνω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(pokrith/r;noun;yes
Κλείτωρ;[];;;noun;no
κλιντήρ;['κλίνω'];- couch;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klinth/r;noun;yes
σιδηρομήτωρ;['σίδηρος', 'μήτηρ'];- mother of iron;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sidhromh/twr;noun;no
ληιβοτήρ;[];;;noun;yes
πολυάστηρ;[];;;;no
ταυροπάτωρ;['ταῦρος', 'πατήρ'];- sprung from a bull;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tauropa/twr;noun;no
συνδοτήρ;['σύν', 'δίδωμι'];;;;yes
Ἀμήτωρ;[];;;noun;no
Λακητήρ;[];;;noun;no
δαμαντήρ;[];- tamer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=damanth/r;noun;yes
τελέστωρ;['τελέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tele/stwr;noun;yes
διμάτωρ;[];;;;no
ἀλάστωρ;[];"- avenging spirit; deity
- he who does deeds which merit vengeance, wretch";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)la/stwr;noun;yes
δυνάστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=duna/stwr;noun;yes
ἀναληπτήρ;['ἀνά', 'λαμβάνω'];"- bucket; ladle; bowl";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nalhpth/r;noun;yes
παρακλίντωρ;['παρά', 'κλίνω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=parakli/ntwr;noun;yes
κολυμβητήρ;['κολυμβάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kolumbhth/r;noun;yes
εὑρήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu(rh/twr;noun;yes
κυβερνατήρ;[];;;noun;yes
συγκτήτωρ;['σύν', 'κτάομαι'];- joint-possessor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sugkth/twr;noun;yes
ὑπερασπιστήρ;['ὑπέρ', 'ἀσπίς'];;;;yes
διαγγελτήρ;['διά', 'ἀγγέλλω'];;;;yes
διευθυντήρ;['διά', 'εὐθύνω'];- pilot, governor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dieuqunth/r;noun;yes
θρεπτήτωρ;['τρέφω'];- nourisher, feeder;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qrepth/twr;noun;yes
λωβητήρ;['λωβάω'];"- foul slanderer; destroyer
- worthless wretch";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lwbhth/r;noun;yes
Γανύκτωρ;[];;;noun;no
συρμιστήρ;[];"- one who sells shavings; for firing";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=surmisth/r;noun;no
κακοήτωρ;['κακός', 'ἦτορ'];;;;yes
ἀίστωρ;['ἴστωρ'];;;noun;yes
στεγαστήρ;['στεγάζω'];"- coverer; tile";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=stegasth/r;noun;yes
ὀνειδιστήρ;['ὀνειδίζω'];- abusive;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)neidisth/r;noun;yes
πολυμνήστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polumnh/stwr;;yes
ἐντεσιμήστωρ;['ἔντος', 'μήστωρ'];- skilled in arms;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)ntesimh/stwr;noun;yes
δευτήρ;['δεύω'];- kettle, cauldron;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deuth/r;noun;yes
θηράτωρ;['θηράω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhra/twr;noun;yes
θηρατήρ;['θηράω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qhrath/r;noun;yes
παγκράτωρ;['πᾶς', 'κράτος'];- all-powerful;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pagkra/twr;noun;yes
ὀπτευτήρ;['ὀπτάω'];- forger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pteuth/r;noun;yes
διζήτωρ;['δίζημαι'];;;;yes
ῥαιστήρ;['ῥαίω'];"- smasher; hammer";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(aisth/r;noun;yes
προδέκτωρ;['πρό', 'δείκνυμι'];- foreshower;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prode/ktwr;noun;yes
προπάτωρ;['πρό', 'πατήρ'];"- first founder of a family, forefather; ancestor; primal god; PMag. Leid.V; ancestors, forefathers; founders, inventors";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=propa/twr;noun;no
ὀπηδητήρ;['ὀπηδέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)phdhth/r;;yes
ἀποτακτήρ;['ἀπό', 'τάσσω'];- anchorite, hermit;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)potakth/r;noun;yes
δρηστήρ;['διδράσκω'];"- labourer, working man
- runaway";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=drhsth/r;noun;yes
ἀλεξήτωρ;['ἀλέξω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)lech/twr;noun;yes
λυμαντήρ;['λυμαίνω'];- spoiler, destroyer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lumanth/r;noun;yes
βουκινάτωρ;['βούκινον'];;;;yes
βαπτιστήρ;['βαπτίζω'];;;;yes
λωβήτωρ;['λωβάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lwbh/twr;noun;yes
νωμήτωρ;['νωμάω'];"- one who distributes
- one who guides, moves";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nwmh/twr;noun;yes
πολυπρήκτωρ;[];;;;yes
ἐπαμβατήρ;['ἐπί', 'ἀνά', 'βαίνω'];- one who mounts upon, assailant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pambath/r;noun;yes
σεκούτωρ;[];;;;yes
Ἀρέστωρ;[];;;noun;no
τιθηνευτήρ;['τιθηνέω'];;;;yes
δοριμήστωρ;['δόρυ', 'μήστωρ'];- master of the spear;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dorimh/stwr;noun;yes
ὠμηστήρ;['ὠμός', 'ἔδω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=w)mhsth/r;noun;yes
ἀντλητήρ;['ἀντλέω'];"- one who drawswater
- ladle";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntlhth/r;noun;yes
σιτολογοπράκτωρ;['σῖτος', 'λέγω', 'πράκτωρ'];- collector of dues for;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sitologopra/ktwr;noun;yes
ἰχθυσιληϊστήρ;['ἰχθῦς', 'ληϊστήρ'];;;noun;yes
γλυπτήρ;['γλύφω'];- graving tool, chisel;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=glupth/r;noun;yes
ἀμητήρ;['ἀμάω'];- reaper;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mhth/r;noun;yes
ἐπιβήτωρ;['ἐπί', 'βαίνω'];"- one who mounts
- springing";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pibh/twr;noun;yes
μαίστωρ;[];;;;yes
δέκτωρ;['δέχομαι'];"- one who takes upon himself; on his own head";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=de/ktwr;noun;yes
ἡγήτωρ;['ἡγέομαι'];"- f; leader, commander, chief";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(gh/twr;noun;yes
θεομήστωρ;['θεός', 'μήδομαι'];"- like the gods in counsel
- devised by God";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qeomh/stwr;noun;yes
τευκτήρ;['τεύχω'];- maker;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=teukth/r;noun;yes
βακχεύτωρ;['βακχεύω'];;;noun;yes
Καλήτωρ;[];;;noun;no
ἰκριωτήρ;['ἴκριον'];"- upright
- joists";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)kriwth/r;noun;yes
ἐπαγγελτήρ;['ἐπί', 'ἀγγέλλω'];- envoy who announces a festival;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)paggelth/r;noun;yes
ἕστωρ;[];- peg at the end of the pole;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(/stwr;noun;yes
ἀθλητήρ;['ἀθλέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)qlhth/r;noun;yes
συριστήρ;['συρίζω'];;;;yes
ὀλετήρ;['ὄλλυμι'];- destroyer, murderer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)leth/r;noun;yes
ἵκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(/ktwr;noun;yes
μητάτωρ;[];;;;yes
αἰνοπάτηρ;['αἰνός', 'πατήρ'];- unhappy father;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)nopa/thr;;no
ἐγγλωττογάστωρ;['ἐν', 'γλῶττα', 'γαστήρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)gglwttoga/stwr;noun;no
κοροράτωρ;[];;;;yes
παναλάστωρ;['πᾶς', 'ἀλάστωρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=panala/stwr;noun;yes
προβλήτωρ;['πρό', 'βάλλω'];- producer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=problh/twr;noun;yes
πενθητήρ;['πενθέω'];"- mourner; she who mourns for";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=penqhth/r;noun;yes
δώτωρ;[];- giver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dw/twr;noun;yes
βραχιονιστήρ;['βραχίων'];- armlet;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=braxionisth/r;noun;no
ληΐστωρ;['ληΐζομαι'];;;noun;yes
πλαγκτήρ;['πλάζω'];"- he that leads astray, the beguiler; the roamer";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plagkth/r;noun;yes
γνωστήρ;['γιγνώσκω'];"- one that knows: surety; witness to identity";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gnwsth/r;noun;yes
περονητήρ;[];- buckle, brooch;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=peronhth/r;noun;yes
ἀντλιαντλητήρ;['ἀντλίον', 'ἀντλητήρ'];- bucket;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ntliantlhth/r;noun;yes
νικατήρ;['νικάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nikath/r;noun;yes
κυέστωρ;[];;;;yes
Ὀνήτωρ;[];;;noun;no
στράτωρ;[];- strator, groom;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=stra/twr;;yes
